"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","0","6","1","0.000000","0","0"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","0","18","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","0","5","1","0.000000","0","0"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","0","6","1","0.000000","0","0"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","0","4","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","0","7","1","0.000000","0","0"
"/Game/ModularSchool/source/Vend/Material_001.Material_001","0","0","14","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Glass.M_Glass","0","0","35","1","0.000000","0","0"
"/Game/ModularSchool/source/Vend/glass.glass","0","14","1","1","50.597080","0","37"
"/Game/ModularSchool/source/Vend/Material_003.Material_003","0","14","1","1","11.646936","0","30"
"/Game/ModularSchool/source/Vend/elements_cena.elements_cena","0","14","2","1","12.895322","0","31"
"/Game/ModularSchool/source/Vend/elements_cena_001.elements_cena_001","0","14","14","1","12.037166","0","14"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","0","12","1","0.000000","0","0"
"/Game/StarterContent/Materials/M_Basic_Wall.M_Basic_Wall","0","0","23","1","0.000000","0","0"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","0","28","1","0.000000","0","0"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","0","5","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","0","9","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","0","14","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","0","5","1","0.000000","0","0"
"/Engine/VREditor/TransformGizmo/Main.Main","0","0","5","1","0.000000","0","0"
"/Game/TMDecorationsPack1/LevelAssets/Materials/M_Base.M_Base","0","23","23","1","19.890739","0","23"
"/Game/StarterContent/Materials/M_Basic_Floor.M_Basic_Floor","0","23","23","1","19.096914","0","23"
"/Game/StarterContent/Materials/M_AssetPlatform.M_AssetPlatform","0","23","23","1","19.043499","0","23"
"/Game/TMStoragesPack1/LevelAssets/Materials/M_Base.M_Base","0","23","23","1","0.000000","0","23"
"/Game/Blueprints/m_Screen.m_Screen","0","0","14","1","0.000000","0","0"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","0","145","1","0.000000","0","0"
"/Game/MapTiles/Map_Tiles_Models/standardSurface1.standardSurface1","0","0","23","1","0.000000","0","0"
"/Game/ModularBuildingSet/materials/black_interior.black_interior","0","0","23","1","0.000000","0","0"
"/Game/MapTiles/Map_Tiles_Textures/CornerHallway/standardSurface1.standardSurface1","0","14","14","1","8.666399","0","16"
"/Game/MapTiles/Map_Tiles_Textures/CrossHallway/standardSurface1.standardSurface1","0","14","14","1","0.000000","0","16"
"/Game/StarterContent/Blueprints/Assets/M_LightStage_Arrows.M_LightStage_Arrows","0","4","4","1","1.959163","0","6"
"/Game/MapTiles/Map_Tiles_Textures/THallway/standardSurface1.standardSurface1","0","14","14","1","0.000000","0","16"
"/Game/MapTiles/Map_Tiles_Textures/Hallway/standardSurface1.standardSurface1","0","14","14","1","0.000000","0","16"
"/Game/MapTiles/Map_Tiles_Textures/EndHallway/standardSurface1.standardSurface1","0","14","14","1","0.000000","0","16"
"/Game/m_lightflickerHall.m_lightflickerHall","0","0","145","1","0.000000","0","0"
"/Game/m_lightflicker1.m_lightflicker1","0","0","145","1","0.000000","0","0"
"/Game/m_lightflicker.m_lightflicker","0","0","145","1","0.000000","0","0"
"/Game/Models/Key/Model/KeyTag.KeyTag","0","0","14","1","0.000000","0","0"
"/Game/Models/Key/Model/Key.Key","0","0","14","1","0.000000","0","0"
"/Game/Models/Entity/Skin_CaveTroll2.Skin_CaveTroll2","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Sphere3D1_10.PM3D_Sphere3D1_10","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Sphere3D1_8.PM3D_Sphere3D1_8","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Sphere3D1_7.PM3D_Sphere3D1_7","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Sphere3D1_16.PM3D_Sphere3D1_16","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Sphere3D1_15.PM3D_Sphere3D1_15","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Cylinder3D1.PM3D_Cylinder3D1","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Cube3D1_2.PM3D_Cube3D1_2","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/PM3D_Cube3D1_1.PM3D_Cube3D1_1","0","0","28","1","0.000000","0","0"
"/Game/Models/Entity/Extract13.Extract13","0","0","28","1","0.000000","0","0"
"/Game/Models/Camera/standardSurface1.standardSurface1","0","0","28","1","0.000000","0","0"
"/Game/FPWeapon/Materials/BaseMaterial.BaseMaterial","0","0","37","1","0.000000","0","0"
"/Game/LevelPrototyping/Materials/M_Solid.M_Solid","0","0","28","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Picture_frame.M_Picture_frame","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Modern_Table_bottom.M_Modern_Table_bottom","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Metall.M_Metall","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Cupboard_Metall.M_Cupboard_Metall","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Chrome.M_Chrome","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Bed_Lamp_Glowing_Part.M_Bed_Lamp_Glowing_Part","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Bed_Lamp_3.M_Bed_Lamp_3","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Bed_drawer_metall.M_Bed_drawer_metall","0","0","23","1","0.000000","0","0"
"/Game/FreeFurniturePack/Materials/M_Bed_drawer_plastic.M_Bed_drawer_plastic","0","0","23","1","0.000000","0","0"
"/Game/FinishedUI/Flipbooks/Mats/Full.Full","0","0","14","1","0.000000","0","0"
"/Game/ModularSchool/Materials/M_TranslucentPlastic.M_TranslucentPlastic","0","0","23","1","0.000000","0","0"
"/Game/StarterContent/Particles/Materials/m_flare_01.m_flare_01","0","20","2","1","17.506983","0","107"
"/Game/ModularSchool/Materials/M_Glass.M_Glass","0","33","3","1","232.723694","0","150"
"/Game/ModularSchool/Materials/M_grass.M_grass","0","23","4","1","21.813225","0","115"
"/Game/ModularSchool/source/vending_machine_bottom.vending_machine_bottom","0","14","3","1","11.762208","0","68"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_Metal.M_Metal","0","0","41","1","0.000000","0","0"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_Glass.M_Glass","0","0","61","1","0.000000","0","0"
"/Game/AssetsvilleTown/Materials/MasterMaterials/M_BaseColor.M_BaseColor","0","0","66","1","0.000000","0","0"
"/Game/ArchVisPolishPack02/Materials/M_AVP2_Plastic.M_AVP2_Plastic","0","0","23","1","0.000000","0","0"
